Player Id,Player Name,2022/2023,2023/2024,2024/2025,2024/2025.1,pca_1
60,Terry Rozier,"$21,486,316 ","$23,205,221 ","$24,924,126 ","$26,643,031 ",-1.375197292800212
61,Fred VanVleet,"$21,250,000 ","$22,824,074 ",$0 ,$0 ,-1.3691157713007374
62,Buddy Hield,"$21,177,750 ","$19,279,841 ",$0 ,$0 ,-1.3630342498012626
63,Domantas Sabonis,"$21,100,000 ","$22,000,000 ",$0 ,$0 ,-1.356952728301788
64,Jerami Grant,"$20,955,000 ",$0 ,$0 ,$0 ,-1.3508712068023132
65,Mikal Bridges,"$20,100,000 ","$21,700,000 ","$23,300,000 ","$24,900,000 ",-1.3447896853028385
66,Jarrett Allen,"$20,000,000 ","$20,000,000 ","$20,000,000 ","$20,000,000 ",-1.3387081638033638
67,Nicolas Batum,"$19,700,319 ","$11,710,818 ",$0 ,$0 ,-1.332626642303889
68,Aaron Gordon,"$19,690,909 ","$21,266,182 ","$22,841,455 ","$22,841,455 ",-1.3265451208044143
69,Tim Hardaway Jr,"$19,602,273 ","$17,897,728 ","$16,193,183 ",$0 ,-1.3204635993049396
70,Eric Gordon,"$19,568,360 ","$20,917,902 ",$0 ,$0 ,-1.314382077805465
71,Bojan Bogdanovic,"$19,550,000 ","$20,000,000 ","$19,032,850 ",$0 ,-1.30830055630599
72,Lonzo Ball,"$19,534,884 ","$20,465,117 ","$21,395,348 ",$0 ,-1.3022190348065152
73,Spencer Dinwiddie,"$19,500,000 ","$20,357,143 ",$0 ,$0 ,-1.2961375133070405
74,Danilo Gallinari,"$19,479,000 ","$6,802,950 ",$0 ,$0 ,-1.2900559918075658
75,Caris LeVert,"$18,796,296 ",$0 ,$0 ,$0 ,-1.283974470308091
76,Joe Harris,"$18,642,857 ","$19,928,571 ",$0 ,$0 ,-1.2778929488086164
77,Harrison Barnes,"$18,352,273 ",$0 ,$0 ,$0 ,-1.2718114273091417
78,Clint Capela,"$18,206,896 ","$20,616,000 ","$22,265,280 ",$0 ,-1.265729905809667
79,Evan Fournier,"$18,000,000 ","$18,857,143 ","$19,000,000 ",$0 ,-1.2596483843101922
79,Bogdan Bogdanovic,"$18,000,000 ","$18,700,000 ","$17,260,000 ","$16,020,000 ",-1.2596483843101922
81,Steven Adams,"$17,926,829 ","$12,600,000 ","$12,600,000 ",$0 ,-1.2474853413112428
82,Jonathan Isaac,"$17,400,000 ","$17,400,000 ","$17,400,000 ",$0 ,-1.241403819811768
83,OG Anunoby,"$17,357,143 ","$18,642,857 ","$19,928,571 ",$0 ,-1.2353222983122933
84,Gary Trent Jr,"$17,280,000 ","$18,560,000 ",$0 ,$0 ,-1.2292407768128186
85,Marcus Smart,"$17,207,142 ","$18,583,713 ","$19,960,285 ","$21,336,856 ",-1.223159255313344
86,Derrick White,"$17,142,857 ","$18,357,143 ","$19,571,429 ",$0 ,-1.2170777338138692
87,Dejounte Murray,"$17,071,120 ","$18,214,000 ",$0 ,$0 ,-1.2109962123143945
88,Mitchell Robinson,"$17,045,454 ","$15,681,818 ","$14,318,182 ","$12,954,546 ",-1.2049146908149195
89,Duncan Robinson,"$16,902,000 ","$18,154,000 ","$19,406,000 ","$19,888,000 ",-1.1988331693154448
90,Norman Powell,"$16,758,621 ","$18,000,000 ","$19,241,379 ","$20,482,758 ",-1.19275164781597
91,Collin Sexton,"$16,700,000 ","$17,325,000 ","$18,150,000 ","$18,975,000 ",-1.1866701263164954
92,Markelle Fultz,"$16,500,000 ","$17,000,000 ",$0 ,$0 ,-1.1805886048170207
93,Lauri Markkanen,"$16,475,454 ","$17,259,999 ","$18,044,544 ",$0 ,-1.174507083317546
94,Marcus Morris,"$16,372,093 ","$17,116,279 ",$0 ,$0 ,-1.1684255618180712
95,Davis Bertans,"$16,000,000 ","$17,000,000 ","$16,000,000 ",$0 ,-1.1623440403185965
96,Jusuf Nurkic,"$15,625,000 ","$16,875,000 ","$18,125,000 ","$19,375,000 ",-1.1562625188191218
97,Malik Beasley,"$15,558,035 ","$16,524,106 ",$0 ,$0 ,-1.150180997319647
98,Luguentz Dort,"$15,277,778 ","$15,277,778 ","$16,500,000 ","$17,722,222 ",-1.1440994758201724
99,Will Barton,"$15,059,712 ",$0 ,$0 ,$0 ,-1.1380179543206976
100,Tyus Jones,"$15,000,000 ","$14,000,000 ",$0 ,$0 ,-1.131936432821223
101,Jonas Valanciunas,"$14,700,000 ","$15,435,000 ",$0 ,$0 ,-1.1258549113217482
102,Derrick Rose,"$14,520,730 ","$15,596,339 ",$0 ,$0 ,-1.1197733898222735
103,Kevin Huerter,"$14,508,929 ","$15,669,643 ","$16,830,357 ","$17,991,071 ",-1.1136918683227988
104,Christian Wood,"$14,317,459 ",$0 ,$0 ,$0 ,-1.107610346823324
105,Wendell Carter,"$14,150,000 ","$13,050,000 ","$11,950,000 ","$10,850,000 ",-1.101528825323849
106,Kentavious Caldwell-Pope,"$14,004,703 ","$14,704,938 ","$15,440,185 ",$0 ,-1.0954473038243744
107,Brook Lopez,"$13,906,976 ",$0 ,$0 ,$0 ,-1.0893657823248997
108,Patrick Beverley,"$13,801,614 ",$0 ,$0 ,$0 ,-1.083284260825425
109,Doug McDermott,"$13,750,000 ","$13,750,000 ",$0 ,$0 ,-1.0772027393259502
110,Luke Kennard,"$13,745,455 ","$14,763,636 ","$14,763,636 ",$0 ,-1.0711212178264755
111,Zion Williamson,"$13,534,817 ","$33,500,000 ","$36,180,000 ","$38,860,000 ",-1.0650396963270008
112,Jordan Clarkson,"$13,340,000 ","$14,260,000 ",$0 ,$0 ,-1.058958174827526
113,Gary Harris,"$13,000,000 ","$13,000,000 ",$0 ,$0 ,-1.0528766533280514
113,Kyle Kuzma,"$13,000,000 ","$13,000,000 ",$0 ,$0 ,-1.0528766533280514
115,Josh Hart,"$12,960,000 ","$12,960,000 ",$0 ,$0 ,-1.040713610329102
116,Dorian Finney-Smith,"$12,939,848 ","$13,932,008 ","$14,924,167 ","$15,378,480 ",-1.0346320888296272
117,Kelly Olynyk,"$12,804,878 ","$12,195,122 ",$0 ,$0 ,-1.0285505673301525
118,Chris Boucher,"$12,690,000 ","$11,750,000 ","$10,810,000 ",$0 ,-1.0224690458306778
119,Kelly Oubre,"$12,600,000 ",$0 ,$0 ,$0 ,-1.016387524331203
120,Marvin Bagley,"$12,500,000 ","$12,500,000 ","$12,500,000 ",$0 ,-1.0103060028317283
121,Robert Covington,"$12,307,692 ","$11,692,308 ",$0 ,$0 ,-1.0042244813322536
122,Josh Richardson,"$12,196,094 ",$0 ,$0 ,$0 ,-0.9981429598327787
123,Ja Morant,"$12,119,440 ","$33,500,000 ","$36,180,000 ","$38,860,000 ",-0.992061438333304
124,Danny Green,"$11,710,528 ",$0 ,$0 ,$0 ,-0.9859799168338292
125,Devonte Graham,"$11,550,000 ","$12,100,000 ","$12,650,000 ",$0 ,-0.9798983953343545
126,Terrence Ross,"$11,500,000 ",$0 ,$0 ,$0 ,-0.9738168738348797
127,Reggie Jackson,"$11,457,217 ",$0 ,$0 ,$0 ,-0.967735352335405
128,Dillon Brooks,"$11,400,000 ",$0 ,$0 ,$0 ,-0.9616538308359303
129,Richaun Holmes,"$11,215,260 ","$12,046,020 ","$12,876,780 ",$0 ,-0.9555723093364555
130,Dwight Powell,"$11,080,125 ",$0 ,$0 ,$0 ,-0.9494907878369808
131,Paolo Banchero,"$11,055,120 ","$11,608,080 ","$12,160,800 ","$15,334,769 ",-0.9434092663375061
132,RJ Barrett,"$10,900,634 ","$23,883,929 ","$25,794,643 ","$27,705,357 ",-0.9373277448380314
133,Bobby Portis,"$10,843,350 ","$11,710,818 ","$12,578,286 ","$13,445,754 ",-0.9312462233385567
134,DeAndre Jordan,"$10,733,758 ",$0 ,$0 ,$0 ,-0.9251647018390818
135,Anthony Edwards,"$10,733,400 ","$13,534,817 ","$17,595,263 ",$0 ,-0.9190831803396071
136,Robert Williams,"$10,714,287 ","$11,571,429 ","$12,428,571 ","$13,285,713 ",-0.9130016588401324
137,Cade Cunningham,"$10,552,800 ","$11,055,360 ","$13,940,809 ","$18,123,052 ",-0.9069201373406577
138,PJ Tucker,"$10,490,000 ","$11,014,500 ","$11,539,000 ",$0 ,-0.900838615841183
139,Derrick Favors,"$10,350,803 ",$0 ,$0 ,$0 ,-0.8947570943417082
140,Mo Bamba,"$10,300,000 ","$10,300,000 ",$0 ,$0 ,-0.8886755728422335
141,Talen Horton-Tucker,"$10,260,000 ","$11,020,000 ",$0 ,$0 ,-0.8825940513427588
142,Jae Crowder,"$10,183,800 ",$0 ,$0 ,$0 ,-0.8765125298432841
143,Ivica Zubac,"$10,123,457 ","$10,933,333 ","$11,743,210 ",$0 ,-0.8704310083438093
144,Reggie Bullock,"$10,012,800 ","$10,489,600 ",$0 ,$0 ,-0.8643494868443345
144,Alec Burks,"$10,012,800 ","$10,489,600 ",$0 ,$0 ,-0.8643494868443345
146,Chet Holmgren,"$9,891,240 ","$10,386,000 ","$10,880,640 ","$13,731,368 ",-0.8521864438453851
147,De'Andre Hunter,"$9,835,881 ","$20,089,286 ","$21,696,429 ","$23,303,571 ",-0.8461049223459104
148,Larry Nance Jr,"$9,672,727 ","$10,375,000 ","$11,205,000 ",$0 ,-0.8400234008464357
149,James Wiseman,"$9,603,360 ","$12,119,440 ","$15,815,870 ",$0 ,-0.833941879346961
150,Landry Shamet,"$9,500,000 ","$10,250,000 ","$11,000,000 ","$11,750,000 ",-0.8278603578474862
151,Malik Monk,"$9,472,219 ","$9,945,830 ",$0 ,$0 ,-0.8217788363480114
152,Jalen Green,"$9,441,840 ","$9,891,480 ","$12,483,048 ","$16,290,377 ",-0.8156973148485367
153,Jakob Poeltl,"$9,398,148 ",$0 ,$0 ,$0 ,-0.809615793349062
154,Nerlens Noel,"$9,391,069 ",$0 ,$0 ,$0 ,-0.8035342718495873
155,Nicolas Claxton,"$9,350,000 ","$9,625,000 ",$0 ,$0 ,-0.7974527503501125
156,Dario Saric,"$9,240,000 ",$0 ,$0 ,$0 ,-0.7913712288506378
157,Royce O'Neale,"$9,200,000 ","$9,500,000 ",$0 ,$0 ,-0.7852897073511631
158,Monte Morris,"$9,125,000 ","$9,800,926 ",$0 ,$0 ,-0.7792081858516884
159,Mason Plumlee,"$9,080,417 ",$0 ,$0 ,$0 ,-0.7731266643522137
160,Alex Caruso,"$9,030,000 ","$9,460,000 ","$9,890,000 ",$0 ,-0.7670451428527388
161,Maxi Kleber,"$9,000,000 ","$11,000,000 ","$11,000,000 ","$11,000,000 ",-0.7609636213532641
162,Grayson Allen,"$8,925,000 ","$8,925,000 ",$0 ,$0 ,-0.7548820998537894
163,Darius Garland,"$8,920,794 ","$33,500,000 ","$36,180,000 ","$38,860,000 ",-0.7488005783543147
164,Jabari Smith,"$8,882,640 ","$9,326,520 ","$9,770,880 ","$12,350,392 ",-0.74271905685484
165,Isaiah Hartenstein,"$8,854,879 ","$9,245,121 ",$0 ,$0 ,-0.7366375353553652
166,Kyle Anderson,"$8,780,488 ","$9,219,512 ",$0 ,$0 ,-0.7305560138558905
167,Victor Oladipo,"$8,750,000 ","$9,450,000 ",$0 ,$0 ,-0.7244744923564158
168,Daniel Theis,"$8,694,369 ","$9,108,386 ","$9,522,404 ",$0 ,-0.718392970856941
169,LaMelo Ball,"$8,623,920 ","$10,900,635 ","$14,301,633 ",$0 ,-0.7123114493574663
170,Seth Curry,"$8,496,653 ",$0 ,$0 ,$0 ,-0.7062299278579915
171,Evan Mobley,"$8,478,720 ","$8,882,640 ","$11,227,657 ","$14,730,686 ",-0.7001484063585168
172,Gary Payton II,"$8,300,000 ","$8,715,000 ","$9,130,000 ",$0 ,-0.6940668848590421
173,Dewayne Dedmon,"$8,283,688 ","$2,748,674 ","$2,748,674 ",$0 ,-0.6879853633595674
174,De'Anthony Melton,"$8,250,000 ","$8,000,000 ",$0 ,$0 ,-0.6819038418600927
175,JaMychal Green,"$8,200,000 ",$0 ,$0 ,$0 ,-0.675822320360618
176,TJ McConnell,"$8,100,000 ","$8,700,000 ","$9,300,000 ",$0 ,-0.6697407988611432
177,Keegan Murray,"$8,008,440 ","$8,409,000 ","$8,809,560 ","$11,144,093 ",-0.6636592773616684
178,Kevon Looney,"$8,000,000 ","$8,500,000 ","$9,000,000 ",$0 ,-0.6575777558621937
178,Thaddeus Young,"$8,000,000 ","$8,000,000 ",$0 ,$0 ,-0.6575777558621937
180,Delon Wright,"$7,804,878 ","$8,195,122 ",$0 ,$0 ,-0.6454147128632443
181,Patrick Williams,"$7,775,400 ","$9,835,881 ","$12,973,527 ",$0 ,-0.6393331913637695
182,Scottie Barnes,"$7,644,600 ","$8,008,680 ","$10,130,980 ","$13,362,763 ",-0.6332516698642948
183,Cedi Osman,"$7,426,088 ","$6,718,842 ",$0 ,$0 ,-0.6271701483648201
184,Coby White,"$7,413,955 ","$9,942,113 ",$0 ,$0 ,-0.6210886268653454
185,Zach Collins,"$7,350,000 ","$7,700,000 ",$0 ,$0 ,-0.6150071053658706
186,Taurean Prince,"$7,295,000 ","$7,650,000 ",$0 ,$0 ,-0.6089255838663958
187,Jaden Ivey,"$7,252,200 ","$7,614,480 ","$7,977,240 ","$10,107,163 ",-0.6028440623669211
188,Jae'Sean Tate,"$7,065,217 ","$6,500,000 ","$7,065,217 ",$0 ,-0.5967625408674464
189,Isaac Okoro,"$7,040,880 ","$8,920,794 ","$11,828,974 ",$0 ,-0.5906810193679717
190,Cody Martin,"$7,000,000 ","$7,560,000 ","$8,120,000 ","$8,680,000 ",-0.584599497868497
191,Jalen Suggs,"$6,922,320 ","$7,252,080 ","$9,188,385 ","$12,183,799 ",-0.5785179763690222
192,Jaxson Hayes,"$6,803,012 ","$9,170,460 ",$0 ,$0 ,-0.5724364548695475
193,Khem Birch,"$6,667,500 ","$6,985,000 ",$0 ,$0 ,-0.5663549333700728
194,Bennedict Mathurin,"$6,586,800 ","$6,916,080 ","$7,245,720 ","$9,187,573 ",-0.560273411870598
195,Patrick Mills,"$6,479,000 ","$6,802,950 ",$0 ,$0 ,-0.5541918903711233
195,Bruce Brown,"$6,479,000 ","$6,802,950 ",$0 ,$0 ,-0.5541918903711233
195,Caleb Martin,"$6,479,000 ","$6,802,950 ","$7,126,900 ",$0 ,-0.5541918903711233
195,Lonnie Walker,"$6,479,000 ",$0 ,$0 ,$0 ,-0.5541918903711233
195,Joe Ingles,"$6,479,000 ",$0 ,$0 ,$0 ,-0.5541918903711233
200,Onyeka Okongwu,"$6,395,160 ","$8,109,063 ","$10,817,490 ",$0 ,-0.5237842828737497
201,Josh Giddey,"$6,287,400 ","$6,587,040 ","$8,352,367 ","$11,142,057 ",-0.517702761374275
202,Rui Hachimura,"$6,263,188 ","$8,486,619 ",$0 ,$0 ,-0.5116212398748001
203,Rudy Gay,"$6,184,500 ","$6,479,000 ",$0 ,$0 ,-0.5055397183753254
204,Jevon Carter,"$6,025,000 ","$2,239,943 ",$0 ,$0 ,-0.4994581968758507
205,Shaedon Sharpe,"$6,012,960 ","$6,313,800 ","$6,614,160 ","$8,399,983 ",-0.493376675376376
206,Cameron Payne,"$6,000,000 ","$6,500,000 ",$0 ,$0 ,-0.48729515387690125
206,Otto Porter,"$6,000,000 ","$6,300,000 ",$0 ,$0 ,-0.48729515387690125
208,Justin Holiday,"$5,987,975 ",$0 ,$0 ,$0 ,-0.4751321108779518
209,Cam Reddish,"$5,954,454 ","$8,109,966 ",$0 ,$0 ,-0.46905058937847705
210,Cameron Johnson,"$5,887,899 ","$8,060,533 ",$0 ,$0 ,-0.4629690678790023
211,Ricky Rubio,"$5,853,659 ","$6,146,342 ","$6,439,025 ",$0 ,-0.4568875463795276
212,Killian Hayes,"$5,837,760 ","$7,413,955 ","$9,942,114 ",$0 ,-0.4508060248800529
213,PJ Washington,"$5,808,435 ","$7,992,407 ",$0 ,$0 ,-0.4447245033805781
214,Jonathan Kuminga,"$5,739,840 ","$6,012,840 ","$7,636,307 ","$10,240,287 ",-0.4386429818811034
215,Pat Connaughton,"$5,728,393 ","$9,423,869 ","$9,423,869 ","$9,423,869 ",-0.4325614603816287
216,Tyler Herro,"$5,722,116 ","$27,000,000 ","$29,000,000 ","$31,000,000 ",-0.42647993888215396
217,Romeo Langford,"$5,634,257 ","$7,837,251 ",$0 ,$0 ,-0.4203984173826792
218,Dyson Daniels,"$5,508,600 ","$5,784,120 ","$6,059,520 ","$7,707,709 ",-0.4143168958832045
219,JaVale McGee,"$5,461,219 ","$5,734,280 ","$6,007,341 ",$0 ,-0.40823537438372975
220,Goga Bitadze,"$5,377,520 ","$2,066,585 ",$0 ,$0 ,-0.40215385288425504
