G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,G_x_Unnamed: 3,G_x_Tm,G_x_Opp,G_x_W,Unnamed: 3_x_Tm,Unnamed: 3_x_Opp,Unnamed: 3_x_W,Tm_x_Opp,Tm_x_W
1,Wed Oct 25 2023,7:30p,,Box Score,,Detroit Pistons,W,,103,102,1,0,W 1,19695,2:14,,,103,102,1,,,,10506,103
2,Fri Oct 27 2023,7:30p,,Box Score,@,Boston Celtics,L,,111,119,1,1,L 1,19156,2:20,,,222,238,2,,,,13209,111
3,Sat Oct 28 2023,8:00p,,Box Score,@,Minnesota Timberwolves,L,,90,106,1,2,L 2,18024,2:05,,,270,318,3,,,,9540,90
4,Mon Oct 30 2023,8:00p,,Box Score,@,Milwaukee Bucks,L,,114,122,1,3,L 3,17341,2:24,,,456,488,4,,,,13908,114
5,Wed Nov 1 2023,7:30p,,Box Score,,Brooklyn Nets,L,,105,109,1,4,L 4,19600,2:14,,,525,545,5,,,,11445,105
6,Fri Nov 3 2023,8:00p,,Box Score,,Washington Wizards,W,,121,114,2,4,W 1,19660,2:09,In-Season Tournament,,726,684,12,,,,13794,242
7,Mon Nov 6 2023,7:30p,,Box Score,,Los Angeles Lakers,W,,108,107,3,4,W 2,19725,2:10,,,756,749,21,,,,11556,324
8,Wed Nov 8 2023,8:00p,,Box Score,@,Memphis Grizzlies,W,,108,102,4,4,W 3,16781,2:28,,,864,816,32,,,,11016,432
9,Sat Nov 11 2023,7:30p,,Box Score,@,Atlanta Hawks,W,,117,109,5,4,W 4,17722,2:13,,,1053,981,45,,,,12753,585
10,Sun Nov 12 2023,7:00p,,Box Score,@,San Antonio Spurs,W,,118,113,6,4,W 5,18036,2:07,,,1180,1130,60,,,,13334,708
11,Tue Nov 14 2023,7:00p,,Box Score,@,Charlotte Hornets,W,,111,105,7,4,W 6,15673,2:14,In-Season Tournament,,1221,1155,77,,,,11655,777
12,Thu Nov 16 2023,7:30p,,Box Score,,Brooklyn Nets,W,,122,115,8,4,W 7,19866,2:17,,,1464,1380,96,,,,14030,976
13,Sat Nov 18 2023,8:00p,,Box Score,@,Chicago Bulls,L,,97,102,8,5,L 1,18063,2:18,,,1261,1326,104,,,,9894,776
14,Mon Nov 20 2023,8:00p,,Box Score,@,Chicago Bulls,W,,118,100,9,5,W 1,19258,2:09,,,1652,1400,126,,,,11800,1062
15,Wed Nov 22 2023,7:30p,,Box Score,@,Cleveland Cavaliers,W,,129,96,10,5,W 2,19432,2:10,,,1935,1440,150,,,,12384,1290
16,Fri Nov 24 2023,7:30p,,Box Score,@,New York Knicks,L,,98,100,10,6,L 1,19812,2:18,In-Season Tournament,,1568,1600,160,,,,9800,980
17,Sat Nov 25 2023,6:00p,,Box Score,@,Brooklyn Nets,L,,97,112,10,7,L 2,17817,2:10,,,1649,1904,170,,,,10864,970
18,Tue Nov 28 2023,7:30p,,Box Score,,Milwaukee Bucks,L,,124,131,10,8,L 3,19691,2:31,In-Season Tournament,,2232,2358,180,,,,16244,1240
