Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_x_Age,Rk_x_G,Rk_x_GS,Rk_x_MP,Age_x_G,Age_x_GS,Age_x_MP,G_x_GS,G_x_MP,pca_1,pca_2,pca_3,pca_4,pca_5
187.0,Ish Smith,PG,34.0,DEN,4.0,0.0,3.0,0.3,0.5,0.5,0.0,0.0,0.0,0.3,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.5,0.5,6358.0,748.0,0.0,561.0,136.0,0.0,102.0,0.0,12.0,,,,,
193.0,Cam Thomas,SG,21.0,BRK,2.0,0.0,8.0,1.5,3.5,0.429,0.0,1.0,0.0,1.5,2.5,0.6,0.429,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,3.0,4053.0,386.0,0.0,1544.0,42.0,0.0,168.0,0.0,16.0,,,,,
195.0,Tristan Thompson,C,31.0,LAL,6.0,0.0,5.3,0.8,1.8,0.455,0.0,0.0,0.0,0.8,1.8,0.455,0.455,0.2,0.8,0.2,0.7,1.0,1.7,0.3,0.0,0.0,0.2,0.2,1.8,6045.0,1170.0,0.0,1033.5,186.0,0.0,164.29999999999998,0.0,31.799999999999997,,,,,
197.0,Obi Toppin,PF,24.0,NYK,11.0,1.0,15.9,2.7,6.4,0.429,1.2,3.9,0.302,1.5,2.5,0.63,0.521,0.4,0.5,0.8,0.9,2.6,3.5,0.6,0.7,0.3,0.7,1.1,7.0,4728.0,2167.0,197.0,3132.3,264.0,24.0,381.6,11.0,174.9,,,,,
199.0,P.J. Tucker,PF,37.0,PHI,11.0,11.0,26.7,1.7,4.6,0.373,1.3,3.6,0.35,0.5,1.0,0.455,0.51,0.2,0.3,0.667,1.6,2.9,4.5,1.5,1.2,0.3,0.5,2.5,4.9,7363.0,2189.0,2189.0,5313.3,407.0,407.0,987.9,121.0,293.7,,,,,
203.0,Ish Wainright,SF,28.0,PHO,6.0,0.0,3.5,0.2,0.7,0.25,0.2,0.7,0.25,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.3,0.5,5684.0,1218.0,0.0,710.5,168.0,0.0,98.0,0.0,21.0,,,,,
204.0,Lonnie Walker IV,SG,24.0,LAL,13.0,0.0,13.8,2.2,4.6,0.483,1.0,2.6,0.382,1.2,2.0,0.615,0.592,0.7,0.9,0.75,0.1,0.8,0.9,0.8,0.5,0.1,0.3,1.2,6.2,4896.0,2652.0,0.0,2815.2000000000003,312.0,0.0,331.20000000000005,0.0,179.4,,,,,
205.0,T.J. Warren,SF,29.0,PHO,6.0,0.0,13.5,1.0,3.2,0.316,0.2,1.2,0.143,0.8,2.0,0.417,0.342,0.5,0.7,0.75,0.3,0.8,1.2,0.5,0.2,0.5,0.2,0.8,2.7,5945.0,1230.0,0.0,2767.5,174.0,0.0,391.5,0.0,81.0,,,,,
206.0,Yuta Watanabe,SF,28.0,BRK,1.0,0.0,5.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.75,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,5768.0,206.0,0.0,1030.0,28.0,0.0,140.0,0.0,5.0,,,,,
207.0,Peyton Watson,SG,20.0,DEN,5.0,0.0,2.8,0.4,1.0,0.4,0.2,0.4,0.5,0.2,0.6,0.333,0.5,0.0,0.0,0.0,0.2,0.6,0.8,0.2,0.0,0.2,0.2,0.4,1.0,4140.0,1035.0,0.0,579.5999999999999,100.0,0.0,56.0,0.0,14.0,,,,,
