Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_x_Age,Rk_x_G,Rk_x_GS,Rk_x_MP,Age_x_G,Age_x_GS,Age_x_MP,G_x_GS,G_x_MP,pca_1,pca_2,pca_3,pca_4,pca_5
3.0,Nickeil Alexander-Walker,SG,25.0,MIN,16.0,1.0,23.6,2.6,7.0,0.366,1.5,5.1,0.296,1.1,1.9,0.548,0.473,0.6,0.6,1.0,0.3,1.4,1.8,2.3,0.6,0.4,0.9,1.5,7.3,75.0,48.0,3.0,70.80000000000001,400.0,25.0,590.0,16.0,377.6,0.9507838049267027,1.8641870618069099,-3.0543129660907393,0.9702578119193374,0.19411432353910432
7.0,Kyle Anderson,PF,30.0,MIN,15.0,1.0,15.4,1.7,3.8,0.456,0.1,0.5,0.25,1.6,3.3,0.49,0.474,0.7,0.8,0.833,1.2,1.5,2.7,2.5,0.7,0.3,0.7,1.7,4.3,210.0,105.0,7.0,107.8,450.0,30.0,462.0,15.0,231.0,0.713920496369326,0.41222599709034696,-3.2674211281203918,3.1317454138552883,2.066723250749459
9.0,Cole Anthony,PG,23.0,ORL,7.0,0.0,14.7,1.9,5.9,0.317,0.3,1.9,0.154,1.6,4.0,0.393,0.341,1.1,1.3,0.889,0.3,1.9,2.1,1.3,0.6,0.1,0.7,2.3,5.1,207.0,63.0,0.0,132.29999999999998,161.0,0.0,338.09999999999997,0.0,102.89999999999999,-4.563400069880593,0.998274578069992,-1.9062708317395514,-1.098914479675,-1.457777931297617
12.0,Nicolas Batum,PF,35.0,PHI,6.0,0.0,28.3,2.0,4.8,0.414,1.5,3.7,0.409,0.5,1.2,0.429,0.569,0.8,1.3,0.625,1.5,4.3,5.8,1.3,0.2,0.8,0.8,2.2,6.3,420.0,72.0,0.0,339.6,210.0,0.0,990.5,0.0,169.8,-0.6992262443089308,-2.153759874219025,-2.5773745640628283,0.1123860415992269,-0.6654647523935096
14.0,Malik Beasley,SG,27.0,MIL,6.0,2.0,21.8,3.5,6.8,0.512,1.8,4.2,0.44,1.7,2.7,0.625,0.646,0.0,0.0,0.0,0.2,2.3,2.5,0.7,0.7,0.0,0.5,1.5,8.8,378.0,84.0,28.0,305.2,162.0,54.0,588.6,12.0,130.8,-2.488451789627669,-0.14967330521743868,-2.3301103054788666,1.886124704593613,1.6112527878242058
18.0,Anthony Black,PG,20.0,ORL,2.0,0.0,5.5,1.5,3.5,0.429,0.0,1.0,0.0,1.5,2.5,0.6,0.429,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.5,3.0,360.0,36.0,0.0,99.0,40.0,0.0,110.0,0.0,11.0,-2.4425541506287742,-0.7333057637771279,1.2512572212944304,3.413752965489005,-2.4421001837979506
19.0,Bojan Bogdanovi?,SF,34.0,NYK,4.0,0.0,12.8,1.8,6.0,0.292,1.5,3.8,0.4,0.3,2.3,0.111,0.417,1.0,1.8,0.571,0.3,2.8,3.0,1.0,0.0,0.3,0.3,0.8,6.0,646.0,76.0,0.0,243.20000000000002,136.0,0.0,435.20000000000005,0.0,51.2,1.2455870581556894,4.142529481708244,-1.3746952336020566,-2.2086367634978563,-1.4776152367051871
20.0,Bol Bol,PF,24.0,PHO,3.0,0.0,4.3,0.3,1.0,0.333,0.0,0.0,0.0,0.3,1.0,0.333,0.333,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.3,0.0,0.0,0.7,0.7,480.0,60.0,0.0,86.0,72.0,0.0,103.19999999999999,0.0,12.899999999999999,-1.3477952829174722,2.526044835765614,-1.761969426880607,-0.8005309824404853,0.19687504003910836
22.0,Brandon Boston Jr.,SF,22.0,LAC,3.0,0.0,3.3,0.7,1.3,0.5,0.0,0.0,0.0,0.7,1.3,0.5,0.5,0.3,0.7,0.5,0.3,0.3,0.7,0.3,0.0,0.0,0.0,0.7,1.7,484.0,66.0,0.0,72.6,66.0,0.0,72.6,0.0,9.899999999999999,-2.178071991573669,0.4208235813587588,-0.9465187703777326,0.034091154836573004,-1.0302176609530227
23.0,Christian Braun,SG,22.0,DEN,12.0,0.0,17.0,1.9,4.5,0.426,0.3,1.5,0.222,1.6,3.0,0.528,0.463,0.9,1.3,0.688,0.8,1.9,2.7,0.8,0.2,0.4,0.1,1.5,5.1,506.0,276.0,0.0,391.0,264.0,0.0,374.0,0.0,204.0,1.8720092432215987,0.5120854429872503,1.7281322858729649,2.9159663821577753,-2.4437153582015116
