G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,G_x_Unnamed: 3,G_x_Tm,G_x_Opp,G_x_W,Unnamed: 3_x_Tm,Unnamed: 3_x_Opp,Unnamed: 3_x_W,Tm_x_Opp,Tm_x_W
1,Thu Oct 20 2022,10:00p,,Box Score,@,Los Angeles Lakers,W,,103,97,1,0,W 1,18997,2:30,,,103,97,1,,,,9991,103
2,Sat Oct 22 2022,10:00p,,Box Score,@,Sacramento Kings,W,,111,109,2,0,W 2,16296,2:27,,,222,218,4,,,,12099,222
3,Sun Oct 23 2022,10:00p,,Box Score,,Phoenix Suns,L,,95,112,2,1,L 1,19068,2:06,,,285,336,6,,,,10640,190
4,Tue Oct 25 2022,8:00p,,Box Score,@,Oklahoma City Thunder,L,,94,108,2,2,L 2,13105,2:05,,,376,432,8,,,,10152,188
5,Thu Oct 27 2022,8:00p,,Box Score,@,Oklahoma City Thunder,L,,110,118,2,3,L 3,14510,2:05,,,550,590,10,,,,12980,220
6,Sun Oct 30 2022,3:00p,,Box Score,,New Orleans Pelicans,L,,91,112,2,4,L 4,18142,1:59,,,546,672,12,,,,10192,182
7,Mon Oct 31 2022,10:30p,,Box Score,,Houston Rockets,W,,95,93,3,4,W 1,14887,2:13,,,665,651,21,,,,8835,285
8,Wed Nov 2 2022,8:00p,,Box Score,@,Houston Rockets,W,,109,101,4,4,W 2,15860,2:08,,,872,808,32,,,,11009,436
9,Fri Nov 4 2022,8:00p,,Box Score,@,San Antonio Spurs,W,,113,106,5,4,W 3,12603,,,,1017,954,45,,,,11978,565
10,Sun Nov 6 2022,10:00p,,Box Score,,Utah Jazz,L,,102,110,5,5,L 1,16111,2:12,,,1020,1100,50,,,,11220,510
11,Mon Nov 7 2022,10:30p,,Box Score,,Cleveland Cavaliers,W,,119,117,6,5,W 1,16516,2:19,,,1309,1287,66,,,,13923,714
12,Wed Nov 9 2022,10:00p,,Box Score,,Los Angeles Lakers,W,,114,101,7,5,W 2,19068,2:13,,,1368,1212,84,,,,11514,798
13,Sat Nov 12 2022,4:00p,,Box Score,,Brooklyn Nets,L,,95,110,7,6,L 1,17777,2:15,,,1235,1430,91,,,,10450,665
14,Mon Nov 14 2022,8:00p,,Box Score,@,Houston Rockets,W,,122,106,8,6,W 1,16098,2:18,,,1708,1484,112,,,,12932,976
15,Tue Nov 15 2022,8:30p,,Box Score,@,Dallas Mavericks,L,,101,103,8,7,L 1,19810,2:22,,,1515,1545,120,,,,10403,808
16,Thu Nov 17 2022,10:30p,,Box Score,,Detroit Pistons,W,,96,91,9,7,W 1,17822,2:30,,,1536,1456,144,,,,8736,864
17,Sat Nov 19 2022,10:30p,,Box Score,,San Antonio Spurs,W,,119,97,10,7,W 2,18581,2:02,,,2023,1649,170,,,,11543,1190
18,Mon Nov 21 2022,10:30p,,Box Score,,Utah Jazz,W,,121,114,11,7,W 3,19068,2:13,,,2178,2052,198,,,,13794,1331
19,Wed Nov 23 2022,10:00p,,Box Score,@,Golden State Warriors,L,,107,124,11,8,L 1,18064,2:18,,,2033,2356,209,,,,13268,1177
20,Fri Nov 25 2022,10:30p,,Box Score,,Denver Nuggets,L,,104,114,11,9,L 2,16559,2:18,,,2080,2280,220,,,,11856,1144
21,Sun Nov 27 2022,4:00p,,Box Score,,Indiana Pacers,W,,114,100,12,9,W 1,16805,2:16,,,2394,2100,252,,,,11400,1368
22,Tue Nov 29 2022,10:00p,,Box Score,@,Portland Trail Blazers,W,,118,112,13,9,W 2,17251,2:25,,,2596,2464,286,,,,13216,1534
23,Wed Nov 30 2022,9:00p,,Box Score,@,Utah Jazz,L,,112,125,13,10,L 1,18206,2:19,,,2576,2875,299,,,,14000,1456
24,Sat Dec 3 2022,4:00p,,Box Score,,Sacramento Kings,L,,96,123,13,11,L 2,16587,2:16,,,2304,2952,312,,,,11808,1248
25,Mon Dec 5 2022,7:00p,,Box Score,@,Charlotte Hornets,W,,119,117,14,11,W 1,13945,2:08,,,2975,2925,350,,,,13923,1666
26,Wed Dec 7 2022,7:00p,,Box Score,@,Orlando Magic,L,OT,111,116,14,12,L 1,14429,2:41,,,2886,3016,364,,,,12876,1554
27,Thu Dec 8 2022,7:30p,,Box Score,@,Miami Heat,L,,110,115,14,13,L 2,19600,2:09,,,2970,3105,378,,,,12650,1540
28,Sat Dec 10 2022,7:00p,,Box Score,@,Washington Wizards,W,,114,107,15,13,W 1,18404,2:17,,,3192,2996,420,,,,12198,1710
29,Mon Dec 12 2022,10:30p,,Box Score,,Boston Celtics,W,,113,93,16,13,W 2,19068,2:16,,,3277,2697,464,,,,10509,1808
