G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,G_x_Unnamed: 3,G_x_Tm,G_x_Opp,G_x_W,Unnamed: 3_x_Tm,Unnamed: 3_x_Opp,Unnamed: 3_x_W,Tm_x_Opp,Tm_x_W
30,Wed Dec 14 2022,10:00p,,Box Score,,Minnesota Timberwolves,W,,99,88,17,13,W 3,14063,2:20,,,2970,2640,510,,,,8712,1683
31,Thu Dec 15 2022,10:30p,,Box Score,,Phoenix Suns,L,,95,111,17,14,L 1,15778,2:08,,,2945,3441,527,,,,10545,1615
32,Sat Dec 17 2022,4:00p,,Box Score,,Washington Wizards,W,,102,93,18,14,W 1,15018,2:17,,,3264,2976,576,,,,9486,1836
33,Wed Dec 21 2022,10:30p,,Box Score,,Charlotte Hornets,W,,126,105,19,14,W 2,19068,2:18,,,4158,3465,627,,,,13230,2394
34,Fri Dec 23 2022,7:00p,,Box Score,@,Philadelphia 76ers,L,,114,119,19,15,L 1,19996,2:16,,,3876,4046,646,,,,13566,2166
35,Mon Dec 26 2022,7:00p,,Box Score,@,Detroit Pistons,W,OT,142,131,20,15,W 1,20190,2:38,,,4970,4585,700,,,,18602,2840
36,Tue Dec 27 2022,7:30p,,Box Score,@,Toronto Raptors,W,,124,113,21,15,W 2,19800,2:09,,,4464,4068,756,,,,14012,2604
37,Thu Dec 29 2022,7:30p,,Box Score,@,Boston Celtics,L,,110,116,21,16,L 1,19156,2:11,,,4070,4292,777,,,,12760,2310
38,Sat Dec 31 2022,3:00p,,Box Score,@,Indiana Pacers,L,,130,131,21,17,L 2,16731,2:18,,,4940,4978,798,,,,17030,2730
39,Mon Jan 2 2023,10:30p,,Box Score,,Miami Heat,L,,100,110,21,18,L 3,19068,2:15,,,3900,4290,819,,,,11000,2100
40,Thu Jan 5 2023,10:00p,,Box Score,@,Denver Nuggets,L,,91,122,21,19,L 4,19087,2:06,,,3640,4880,840,,,,11102,1911
41,Fri Jan 6 2023,9:00p,,Box Score,@,Minnesota Timberwolves,L,,115,128,21,20,L 5,17136,2:18,,,4715,5248,861,,,,14720,2415
42,Sun Jan 8 2023,9:00p,,Box Score,,Atlanta Hawks,L,,108,112,21,21,L 6,19068,2:12,,,4536,4704,882,,,,12096,2268
43,Tue Jan 10 2023,10:30p,,Box Score,,Dallas Mavericks,W,,113,101,22,21,W 1,15828,2:14,,,4859,4343,946,,,,11413,2486
44,Fri Jan 13 2023,10:00p,,Box Score,,Denver Nuggets,L,,103,115,22,22,L 1,16005,2:14,,,4532,5060,968,,,,11845,2266
45,Sun Jan 15 2023,3:00p,,Box Score,,Houston Rockets,W,,121,100,23,22,W 1,17238,2:17,,,5445,4500,1035,,,,12100,2783
46,Tue Jan 17 2023,10:00p,,Box Score,,Philadelphia 76ers,L,,110,120,23,23,L 1,15155,2:25,,,5060,5520,1058,,,,13200,2530
47,Wed Jan 18 2023,9:00p,,Box Score,@,Utah Jazz,L,,103,126,23,24,L 2,18206,2:11,,,4841,5922,1081,,,,12978,2369
48,Fri Jan 20 2023,8:00p,,Box Score,@,San Antonio Spurs,W,,131,126,24,24,W 1,15190,2:02,,,6288,6048,1152,,,,16506,3144
49,Sun Jan 22 2023,2:30p,,Box Score,@,Dallas Mavericks,W,,112,98,25,24,W 2,20026,2:10,,,5488,4802,1225,,,,10976,2800
50,Tue Jan 24 2023,10:00p,,Box Score,@,Los Angeles Lakers,W,,133,115,26,24,W 3,17604,2:15,,,6650,5750,1300,,,,15295,3458
51,Thu Jan 26 2023,10:30p,,Box Score,,San Antonio Spurs,W,,138,100,27,24,W 4,16958,2:06,,,7038,5100,1377,,,,13800,3726
52,Sat Jan 28 2023,7:30p,,Box Score,@,Atlanta Hawks,W,,120,113,28,24,W 5,18448,2:11,,,6240,5876,1456,,,,13560,3360
53,Sun Jan 29 2023,7:00p,,Box Score,@,Cleveland Cavaliers,L,,99,122,28,25,L 1,19432,2:02,,,5247,6466,1484,,,,12078,2772
54,Tue Jan 31 2023,8:00p,,Box Score,@,Chicago Bulls,W,,108,103,29,25,W 1,20068,2:14,,,5832,5562,1566,,,,11124,3132
55,Thu Feb 2 2023,10:00p,,Box Score,@,Milwaukee Bucks,L,,105,106,29,26,L 1,17341,2:20,,,5775,5830,1595,,,,11130,3045
56,Sat Feb 4 2023,7:00p,,Box Score,@,New York Knicks,W,OT,134,128,30,26,W 1,19812,2:42,,,7504,7168,1680,,,,17152,4020
57,Mon Feb 6 2023,7:30p,,Box Score,@,Brooklyn Nets,W,,124,116,31,26,W 2,16981,2:15,,,7068,6612,1767,,,,14384,3844
58,Wed Feb 8 2023,10:00p,,Box Score,,Dallas Mavericks,L,,104,110,31,27,L 1,18377,2:10,,,6032,6380,1798,,,,11440,3224
59,Fri Feb 10 2023,10:30p,,Box Score,,Milwaukee Bucks,L,,106,119,31,28,L 2,16614,2:05,,,6254,7021,1829,,,,12614,3286
60,Tue Feb 14 2023,10:00p,,Box Score,,Golden State Warriors,W,,134,124,32,28,W 1,16741,2:19,,,8040,7440,1920,,,,16616,4288
61,Thu Feb 16 2023,10:00p,,Box Score,@,Phoenix Suns,W,,116,107,33,28,W 2,17071,2:18,,,7076,6527,2013,,,,12412,3828
62,Fri Feb 24 2023,10:30p,,Box Score,,Sacramento Kings,L,2OT,175,176,33,29,L 1,19068,2:48,,,10850,10912,2046,,,,30800,5775
63,Sun Feb 26 2023,10:00p,,Box Score,@,Denver Nuggets,L,OT,124,134,33,30,L 2,19689,2:45,,,7812,8442,2079,,,,16616,4092
64,Tue Feb 28 2023,10:00p,,Box Score,,Minnesota Timberwolves,L,,101,108,33,31,L 3,17022,2:21,,,6464,6912,2112,,,,10908,3333
65,Thu Mar 2 2023,10:00p,,Box Score,@,Golden State Warriors,L,,91,115,33,32,L 4,18064,2:27,,,5915,7475,2145,,,,10465,3003
66,Fri Mar 3 2023,10:00p,,Box Score,@,Sacramento Kings,L,,127,128,33,33,L 5,18111,2:19,,,8382,8448,2178,,,,16256,4191
67,Sun Mar 5 2023,10:00p,,Box Score,,Memphis Grizzlies,W,,135,129,34,33,W 1,19068,2:21,,,9045,8643,2278,,,,17415,4590
68,Wed Mar 8 2023,10:00p,,Box Score,,Toronto Raptors,W,,108,100,35,33,W 2,17397,2:17,,,7344,6800,2380,,,,10800,3780
69,Sat Mar 11 2023,4:00p,,Box Score,,New York Knicks,W,,106,95,36,33,W 3,19068,2:14,,,7314,6555,2484,,,,10070,3816
70,Wed Mar 15 2023,10:00p,,Box Score,,Golden State Warriors,W,,134,126,37,33,W 4,19068,2:31,,,9380,8820,2590,,,,16884,4958
71,Sat Mar 18 2023,3:00p,,Box Score,,Orlando Magic,L,,108,113,37,34,L 1,17533,2:15,,,7668,8023,2627,,,,12204,3996
72,Sun Mar 19 2023,9:00p,,Box Score,@,Portland Trail Blazers,W,,117,102,38,34,W 1,18714,2:05,,,8424,7344,2736,,,,11934,4446
73,Tue Mar 21 2023,10:30p,,Box Score,,Oklahoma City Thunder,L,,100,101,38,35,L 1,19068,2:10,,,7300,7373,2774,,,,10100,3800
74,Thu Mar 23 2023,10:30p,,Box Score,,Oklahoma City Thunder,W,,127,105,39,35,W 1,17307,2:01,,,9398,7770,2886,,,,13335,4953
75,Sat Mar 25 2023,10:30p,,Box Score,,New Orleans Pelicans,L,,110,131,39,36,L 1,17702,2:06,,,8250,9825,2925,,,,14410,4290
76,Mon Mar 27 2023,10:30p,,Box Score,,Chicago Bulls,W,,124,112,40,36,W 1,19068,2:03,,,9424,8512,3040,,,,13888,4960
77,Wed Mar 29 2023,8:00p,,Box Score,@,Memphis Grizzlies,W,,141,132,41,36,W 2,16775,2:16,,,10857,10164,3157,,,,18612,5781
78,Fri Mar 31 2023,8:00p,,Box Score,@,Memphis Grizzlies,L,,94,108,41,37,L 1,16376,2:02,,,7332,8424,3198,,,,10152,3854
79,Sat Apr 1 2023,8:30p,,Box Score,@,New Orleans Pelicans,L,,114,122,41,38,L 2,18399,2:13,,,9006,9638,3239,,,,13908,4674
80,Wed Apr 5 2023,10:00p,,Box Score,,Los Angeles Lakers,W,,125,118,42,38,W 1,19068,2:16,,,10000,9440,3360,,,,14750,5250
81,Sat Apr 8 2023,4:00p,,Box Score,,Portland Trail Blazers,W,,136,125,43,38,W 2,19068,2:03,,,11016,10125,3483,,,,17000,5848
82,Sun Apr 9 2023,3:30p,,Box Score,@,Phoenix Suns,W,,119,114,44,38,W 3,17071,2:16,,,9758,9348,3608,,,,13566,5236
