Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_x_Age,Rk_x_G,Rk_x_GS,Rk_x_MP,Age_x_G,Age_x_GS,Age_x_MP,G_x_GS,G_x_MP,pca_1,pca_2,pca_3,pca_4,pca_5
1.0,Precious Achiuwa,C,23.0,TOR,55.0,12.0,20.7,3.6,7.3,0.485,0.5,2.0,0.269,3.0,5.4,0.564,0.521,1.6,2.3,0.702,1.8,4.1,6.0,0.9,0.6,0.5,1.1,1.9,9.2,23.0,55.0,12.0,20.7,1265.0,276.0,476.09999999999997,660.0,1138.5,3.620890043644865,5.819978482674352,-0.09183496099277318,-1.2671246506392133,-2.1486300279091375
4.0,Ochai Agbaji,SG,22.0,UTA,59.0,22.0,20.5,2.8,6.5,0.427,1.4,3.9,0.355,1.4,2.7,0.532,0.532,0.9,1.2,0.812,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9,88.0,236.0,88.0,82.0,1298.0,484.0,451.0,1298.0,1209.5,-0.9853121222997198,1.1795936992824498,-1.8336029627759554,-2.254081265771556,-0.02639185817421619
5.0,Santi Aldama,PF,22.0,MEM,77.0,20.0,21.8,3.2,6.8,0.47,1.2,3.5,0.353,2.0,3.4,0.591,0.56,1.4,1.9,0.75,1.1,3.7,4.8,1.3,0.6,0.6,0.8,1.9,9.0,110.0,385.0,100.0,109.0,1694.0,440.0,479.6,1540.0,1678.6000000000001,-0.9295176676941865,2.0374356049436573,-1.8830325338423357,-1.6900423328330576,1.0080078039669689
6.0,Nickeil Alexander-Walker,SG,24.0,TOT,59.0,3.0,15.0,2.2,5.0,0.444,1.0,2.7,0.384,1.2,2.3,0.515,0.547,0.7,1.0,0.667,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2,144.0,354.0,18.0,90.0,1416.0,72.0,360.0,177.0,885.0,-2.601472907334456,0.8707597268370836,-3.0515090761844594,-1.584115041292449,-0.937839695376447
6.0,Nickeil Alexander-Walker,SG,24.0,UTA,36.0,3.0,14.7,2.3,4.7,0.488,1.0,2.4,0.402,1.3,2.3,0.578,0.591,0.8,1.1,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3,144.0,216.0,18.0,88.19999999999999,864.0,72.0,352.79999999999995,108.0,529.1999999999999,6.394208175624851,-1.1767114779967451,-2.150217319738133,-4.889538427909181,-0.11632226615611506
6.0,Nickeil Alexander-Walker,SG,24.0,MIN,23.0,0.0,15.5,2.1,5.4,0.384,1.1,3.1,0.361,1.0,2.3,0.415,0.488,0.6,0.9,0.619,0.3,1.5,1.8,1.4,0.3,0.3,0.4,1.3,5.9,144.0,138.0,0.0,93.0,552.0,0.0,372.0,0.0,356.5,2.639108641639816,0.8062533997211353,-3.806013891496363,-1.1102476073227605,-0.9887020280784453
7.0,Grayson Allen,SG,27.0,MIL,72.0,70.0,27.4,3.4,7.7,0.44,2.0,5.1,0.399,1.4,2.7,0.518,0.571,1.6,1.8,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1.0,1.6,10.4,189.0,504.0,490.0,191.79999999999998,1944.0,1890.0,739.8,5040.0,1972.8,6.466892220481238,4.795515106400435,-3.6834472970242373,0.7448866685585607,-0.6891477394066935
9.0,Jose Alvarado,PG,24.0,NOP,61.0,10.0,21.5,3.3,8.0,0.411,1.4,4.0,0.336,1.9,4.0,0.488,0.496,1.1,1.3,0.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0,216.0,549.0,90.0,193.5,1464.0,240.0,516.0,610.0,1311.5,-2.796571674698399,3.852621074266309,0.182675593885111,-2.1639185754262606,-1.7782149567093501
13.0,Cole Anthony,PG,22.0,ORL,60.0,4.0,25.9,4.6,10.2,0.454,1.3,3.4,0.364,3.4,6.7,0.5,0.516,2.5,2.8,0.894,0.8,4.0,4.8,3.9,0.6,0.5,1.5,2.6,13.0,286.0,780.0,52.0,336.7,1320.0,88.0,569.8,240.0,1554.0,-3.544436065270516,-1.0762294924888265,-3.386705162313245,-1.694305558992558,-0.6794187051429617
20.0,Patrick Baldwin Jr.,SF,20.0,GSW,31.0,0.0,7.3,1.4,3.5,0.394,1.0,2.7,0.381,0.4,0.8,0.44,0.541,0.1,0.2,0.667,0.0,1.3,1.3,0.4,0.2,0.1,0.4,0.5,3.9,400.0,620.0,0.0,146.0,620.0,0.0,146.0,0.0,226.29999999999998,-4.946766483216355,1.9356141606608857,0.9143110189866656,-2.7666126191528604,2.8728610288990337
