G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,G_x_Unnamed: 3,G_x_Tm,G_x_Opp,G_x_W,Unnamed: 3_x_Tm,Unnamed: 3_x_Opp,Unnamed: 3_x_W,Tm_x_Opp,Tm_x_W
1,Wed Oct 19 2022,7:30p,,Box Score,@,Miami Heat,W,,116,108,1,0,W 1,19600,2:20,,,116,108,1,,,,12528,116
2,Fri Oct 21 2022,7:00p,,Box Score,@,Washington Wizards,L,,100,102,1,1,L 1,20476,2:15,,,200,204,2,,,,10200,100
3,Sat Oct 22 2022,8:00p,,Box Score,,Cleveland Cavaliers,L,,96,128,1,2,L 2,21089,2:11,,,288,384,3,,,,12288,96
4,Mon Oct 24 2022,8:00p,,Box Score,,Boston Celtics,W,,120,102,2,2,W 1,17673,2:08,,,480,408,8,,,,12240,240
5,Wed Oct 26 2022,8:00p,,Box Score,,Indiana Pacers,W,,124,109,3,2,W 2,18306,2:26,,,620,545,15,,,,13516,372
6,Fri Oct 28 2022,8:30p,,Box Score,@,San Antonio Spurs,L,,124,129,3,3,L 1,16562,2:17,,,744,774,18,,,,15996,372
7,Sat Oct 29 2022,8:00p,,Box Score,,Philadelphia 76ers,L,,109,114,3,4,L 2,19010,2:25,,,763,798,21,,,,12426,327
8,Tue Nov 1 2022,7:30p,,Box Score,@,Brooklyn Nets,W,,108,99,4,4,W 1,17732,2:16,,,864,792,32,,,,10692,432
9,Wed Nov 2 2022,8:00p,,Box Score,,Charlotte Hornets,W,,106,88,5,4,W 2,17886,2:07,,,954,792,45,,,,9328,530
10,Fri Nov 4 2022,7:30p,,Box Score,@,Boston Celtics,L,,119,123,5,5,L 1,19156,2:31,,,1190,1230,50,,,,14637,595
11,Sun Nov 6 2022,6:00p,,Box Score,@,Toronto Raptors,L,,104,113,5,6,L 2,19800,2:03,,,1144,1243,55,,,,11752,520
12,Mon Nov 7 2022,8:45p,,Box Score,,Toronto Raptors,W,,111,97,6,6,W 1,21142,2:11,,,1332,1164,72,,,,10767,666
13,Wed Nov 9 2022,8:00p,,Box Score,,New Orleans Pelicans,L,,111,115,6,7,L 1,19621,2:19,,,1443,1495,78,,,,12765,666
14,Sun Nov 13 2022,8:00p,,Box Score,,Denver Nuggets,L,,103,126,6,8,L 2,21602,2:05,,,1442,1764,84,,,,12978,618
15,Wed Nov 16 2022,8:00p,,Box Score,@,New Orleans Pelicans,L,,110,124,6,9,L 3,14658,2:12,,,1650,1860,90,,,,13640,660
16,Fri Nov 18 2022,8:00p,,Box Score,,Orlando Magic,L,,107,108,6,10,L 4,21031,2:18,,,1712,1728,96,,,,11556,642
17,Mon Nov 21 2022,8:00p,,Box Score,,Boston Celtics,W,,121,107,7,10,W 1,20786,2:05,,,2057,1819,119,,,,12947,847
18,Wed Nov 23 2022,8:00p,,Box Score,@,Milwaukee Bucks,W,,118,113,8,10,W 2,17341,2:23,,,2124,2034,144,,,,13334,944
19,Fri Nov 25 2022,8:00p,,Box Score,@,Oklahoma City Thunder,L,OT,119,123,8,11,L 1,16082,2:31,,,2261,2337,152,,,,14637,952
20,Mon Nov 28 2022,9:00p,,Box Score,@,Utah Jazz,W,,114,107,9,11,W 1,18206,2:07,,,2280,2140,180,,,,12198,1026
21,Wed Nov 30 2022,9:00p,,Box Score,@,Phoenix Suns,L,,113,132,9,12,L 1,17071,2:11,,,2373,2772,189,,,,14916,1017
22,Fri Dec 2 2022,10:00p,,Box Score,@,Golden State Warriors,L,,111,119,9,13,L 2,18064,2:24,,,2442,2618,198,,,,13209,999
23,Sun Dec 4 2022,6:00p,,Box Score,@,Sacramento Kings,L,,101,110,9,14,L 3,17611,2:09,,,2323,2530,207,,,,11110,909
24,Wed Dec 7 2022,8:00p,,Box Score,,Washington Wizards,W,,115,111,10,14,W 1,19265,2:17,,,2760,2664,240,,,,12765,1150
25,Sat Dec 10 2022,8:00p,,Box Score,,Dallas Mavericks,W,,144,115,11,14,W 2,19528,2:02,,,3600,2875,275,,,,16560,1584
26,Sun Dec 11 2022,6:30p,,Box Score,@,Atlanta Hawks,L,OT,122,123,11,15,L 1,17227,2:39,,,3172,3198,286,,,,15006,1342
27,Wed Dec 14 2022,7:30p,,Box Score,,New York Knicks,L,OT,120,128,11,16,L 2,18820,2:38,,,3240,3456,297,,,,15360,1320
28,Fri Dec 16 2022,8:00p,,Box Score,,New York Knicks,L,,91,114,11,17,L 3,19661,2:07,,,2548,3192,308,,,,10374,1001
29,Sun Dec 18 2022,7:00p,,Box Score,@,Minnesota Timberwolves,L,,126,150,11,18,L 4,16294,2:07,,,3654,4350,319,,,,18900,1386
30,Tue Dec 20 2022,7:30p,,Box Score,@,Miami Heat,W,,113,103,12,18,W 1,19969,2:04,,,3390,3090,360,,,,11639,1356
31,Wed Dec 21 2022,7:30p,,Box Score,@,Atlanta Hawks,W,,110,108,13,18,W 2,17226,2:13,,,3410,3348,403,,,,11880,1430
32,Fri Dec 23 2022,7:30p,,Box Score,@,New York Knicks,W,,118,117,14,18,W 3,19812,2:14,,,3776,3744,448,,,,13806,1652
33,Mon Dec 26 2022,8:00p,,Box Score,,Houston Rockets,L,,118,133,14,19,L 1,21561,2:03,,,3894,4389,462,,,,15694,1652
34,Wed Dec 28 2022,8:00p,,Box Score,,Milwaukee Bucks,W,OT,119,113,15,19,W 1,21537,2:45,,,4046,3842,510,,,,13447,1785
35,Fri Dec 30 2022,8:00p,,Box Score,,Detroit Pistons,W,,132,118,16,19,W 2,21667,2:09,,,4620,4130,560,,,,15576,2112
36,Sat Dec 31 2022,7:00p,,Box Score,,Cleveland Cavaliers,L,,102,103,16,20,L 1,21524,2:11,,,3672,3708,576,,,,10506,1632
