Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_x_Age,Rk_x_G,Rk_x_GS,Rk_x_MP,Age_x_G,Age_x_GS,Age_x_MP,G_x_GS,G_x_MP,pca_1,pca_2,pca_3,pca_4,pca_5
331.0,Doug McDermott,SF,32.0,TOT,64.0,0.0,14.1,1.9,4.4,0.433,1.5,3.6,0.41,0.5,0.9,0.527,0.599,0.2,0.3,0.579,0.2,0.8,0.9,1.1,0.3,0.0,0.4,1.0,5.5,10592.0,21184.0,0.0,4667.099999999999,2048.0,0.0,451.2,0.0,902.4,,,,,
331.0,Doug McDermott,SF,32.0,SAS,46.0,0.0,15.2,2.1,4.7,0.442,1.7,3.8,0.439,0.4,0.9,0.452,0.619,0.2,0.4,0.588,0.2,0.9,1.0,1.2,0.2,0.0,0.5,1.0,6.0,10592.0,15226.0,0.0,5031.2,1472.0,0.0,486.4,0.0,699.1999999999999,,,,,
332.0,JaVale McGee,C,36.0,SAC,46.0,0.0,7.4,1.7,2.9,0.598,0.0,0.2,0.143,1.7,2.7,0.624,0.602,0.6,1.0,0.578,0.9,1.8,2.7,0.4,0.3,0.4,0.7,1.0,4.0,11952.0,15272.0,0.0,2456.8,1656.0,0.0,266.40000000000003,0.0,340.40000000000003,,,,,
333.0,Bryce McGowens,SG,21.0,CHO,59.0,14.0,14.9,1.7,3.9,0.439,0.6,1.7,0.333,1.1,2.2,0.523,0.513,1.1,1.4,0.776,0.3,1.4,1.7,0.9,0.4,0.2,0.5,1.3,5.1,6993.0,19647.0,4662.0,4961.7,1239.0,294.0,312.90000000000003,826.0,879.1,,,,,
334.0,Jordan McLaughlin,PG,27.0,MIN,56.0,0.0,11.2,1.3,2.6,0.483,0.8,1.6,0.472,0.5,1.0,0.5,0.628,0.2,0.3,0.722,0.3,1.0,1.3,2.0,0.6,0.1,0.3,0.6,3.5,9018.0,18704.0,0.0,3740.7999999999997,1512.0,0.0,302.4,0.0,627.1999999999999,,,,,
337.0,Sam Merrill,SG,27.0,CLE,61.0,1.0,17.5,2.6,6.4,0.402,2.3,5.8,0.404,0.2,0.6,0.385,0.584,0.4,0.5,0.929,0.4,1.6,2.0,1.8,0.3,0.1,0.3,1.2,8.0,9099.0,20557.0,337.0,5897.5,1647.0,27.0,472.5,61.0,1067.5,,,,,
338.0,Chimezie Metu,C,26.0,TOT,51.0,12.0,16.8,2.4,4.8,0.504,0.5,1.8,0.298,1.9,2.9,0.633,0.561,1.1,1.3,0.906,0.8,3.0,3.8,0.9,0.8,0.3,1.0,1.4,6.5,8788.0,17238.0,4056.0,5678.400000000001,1326.0,312.0,436.8,612.0,856.8000000000001,,,,,
338.0,Chimezie Metu,C,26.0,PHO,37.0,5.0,12.1,1.8,3.5,0.508,0.4,1.4,0.294,1.4,2.1,0.646,0.565,1.0,1.2,0.884,0.6,2.3,3.0,0.5,0.5,0.2,0.7,1.1,5.0,8788.0,12506.0,1690.0,4089.7999999999997,962.0,130.0,314.59999999999997,185.0,447.7,,,,,
339.0,Vasilije Mici?,PG,30.0,OKC,30.0,0.0,12.0,1.2,3.0,0.407,0.4,1.5,0.244,0.9,1.5,0.565,0.467,0.5,0.6,0.737,0.0,0.8,0.8,2.5,0.3,0.1,1.0,0.7,3.3,10170.0,10170.0,0.0,4068.0,900.0,0.0,360.0,0.0,360.0,,,,,
342.0,Jordan Miller,SF,24.0,LAC,8.0,0.0,3.5,0.6,1.1,0.556,0.1,0.3,0.5,0.5,0.9,0.571,0.611,0.3,0.3,1.0,0.4,0.3,0.6,0.0,0.0,0.0,0.1,0.3,1.6,8208.0,2736.0,0.0,1197.0,192.0,0.0,84.0,0.0,28.0,,,,,
345.0,Patty Mills,PG,35.0,TOT,32.0,5.0,13.0,1.4,4.1,0.351,0.8,2.7,0.276,0.7,1.4,0.5,0.443,0.3,0.3,1.0,0.3,0.8,1.1,1.1,0.6,0.0,0.5,1.0,4.0,12075.0,11040.0,1725.0,4485.0,1120.0,175.0,455.0,160.0,416.0,,,,,
