G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,G_x_Unnamed: 3,G_x_Tm,G_x_Opp,G_x_W,Unnamed: 3_x_Tm,Unnamed: 3_x_Opp,Unnamed: 3_x_W,Tm_x_Opp,Tm_x_W
1,Tue Oct 18 2022,10:00p,,Box Score,@,Golden State Warriors,L,,109,123,0,1,L 1,18064,2:33,,,109,123,0,,,,13407,0
2,Thu Oct 20 2022,10:00p,,Box Score,,Los Angeles Clippers,L,,97,103,0,2,L 2,18997,2:30,,,194,206,0,,,,9991,0
3,Sun Oct 23 2022,3:30p,,Box Score,,Portland Trail Blazers,L,,104,106,0,3,L 3,18997,2:28,,,312,318,0,,,,11024,0
4,Wed Oct 26 2022,10:00p,,Box Score,@,Denver Nuggets,L,,99,110,0,4,L 4,19520,2:12,,,396,440,0,,,,10890,0
5,Fri Oct 28 2022,8:00p,,Box Score,@,Minnesota Timberwolves,L,,102,111,0,5,L 5,17136,2:28,,,510,555,0,,,,11322,0
6,Sun Oct 30 2022,9:30p,,Box Score,,Denver Nuggets,W,,121,110,1,5,W 1,18997,2:07,,,726,660,6,,,,13310,121
7,Wed Nov 2 2022,10:30p,,Box Score,,New Orleans Pelicans,W,OT,120,117,2,5,W 2,18997,2:20,,,840,819,14,,,,14040,240
8,Fri Nov 4 2022,10:30p,,Box Score,,Utah Jazz,L,,116,130,2,6,L 1,18997,2:09,,,928,1040,16,,,,15080,232
9,Sun Nov 6 2022,3:30p,,Box Score,,Cleveland Cavaliers,L,,100,114,2,7,L 2,18997,2:18,,,900,1026,18,,,,11400,200
10,Mon Nov 7 2022,10:15p,,Box Score,@,Utah Jazz,L,,116,139,2,8,L 3,18206,2:12,,,1160,1390,20,,,,16124,232
11,Wed Nov 9 2022,10:00p,,Box Score,@,Los Angeles Clippers,L,,101,114,2,9,L 4,19068,2:13,,,1111,1254,22,,,,11514,202
12,Fri Nov 11 2022,10:30p,,Box Score,,Sacramento Kings,L,,114,120,2,10,L 5,17849,2:11,,,1368,1440,24,,,,13680,228
13,Sun Nov 13 2022,9:30p,,Box Score,,Brooklyn Nets,W,,116,103,3,10,W 1,18040,2:15,,,1508,1339,39,,,,11948,348
14,Fri Nov 18 2022,10:30p,,Box Score,,Detroit Pistons,W,,128,121,4,10,W 2,18095,2:25,,,1792,1694,56,,,,15488,512
15,Sun Nov 20 2022,9:30p,,Box Score,,San Antonio Spurs,W,,123,92,5,10,W 3,18211,2:02,,,1845,1380,75,,,,11316,615
16,Tue Nov 22 2022,10:00p,,Box Score,@,Phoenix Suns,L,,105,115,5,11,L 1,17071,2:19,,,1680,1840,80,,,,12075,525
17,Fri Nov 25 2022,8:00p,,Box Score,@,San Antonio Spurs,W,,105,94,6,11,W 1,18354,2:05,,,1785,1598,102,,,,9870,630
18,Sat Nov 26 2022,8:00p,,Box Score,@,San Antonio Spurs,W,,143,138,7,11,W 2,18354,2:21,,,2574,2484,126,,,,19734,1001
19,Mon Nov 28 2022,10:30p,,Box Score,,Indiana Pacers,L,,115,116,7,12,L 1,16034,2:18,,,2185,2204,133,,,,13340,805
20,Wed Nov 30 2022,10:30p,,Box Score,,Portland Trail Blazers,W,,128,109,8,12,W 1,18560,2:08,,,2560,2180,160,,,,13952,1024
21,Fri Dec 2 2022,7:30p,,Box Score,@,Milwaukee Bucks,W,,133,129,9,12,W 2,17938,2:21,,,2793,2709,189,,,,17157,1197
22,Sun Dec 4 2022,6:00p,,Box Score,@,Washington Wizards,W,,130,119,10,12,W 3,19647,2:09,,,2860,2618,220,,,,15470,1300
23,Tue Dec 6 2022,7:30p,,Box Score,@,Cleveland Cavaliers,L,,102,116,10,13,L 1,19432,2:13,,,2346,2668,230,,,,11832,1020
24,Wed Dec 7 2022,7:30p,,Box Score,@,Toronto Raptors,L,,113,126,10,14,L 2,19800,2:11,,,2712,3024,240,,,,14238,1130
25,Fri Dec 9 2022,7:30p,,Box Score,@,Philadelphia 76ers,L,OT,122,133,10,15,L 3,20852,2:43,,,3050,3325,250,,,,16226,1220
26,Sun Dec 11 2022,6:00p,,Box Score,@,Detroit Pistons,W,,124,117,11,15,W 1,20190,2:10,,,3224,3042,286,,,,14508,1364
27,Tue Dec 13 2022,10:00p,,Box Score,,Boston Celtics,L,OT,118,122,11,16,L 1,18661,2:29,,,3186,3294,297,,,,14396,1298
28,Fri Dec 16 2022,10:00p,,Box Score,,Denver Nuggets,W,,126,108,12,16,W 1,18505,2:21,,,3528,3024,336,,,,13608,1512
29,Sun Dec 18 2022,9:30p,,Box Score,,Washington Wizards,W,,119,117,13,16,W 2,18153,2:10,,,3451,3393,377,,,,13923,1547
30,Mon Dec 19 2022,9:00p,,Box Score,@,Phoenix Suns,L,,104,130,13,17,L 1,17071,2:04,,,3120,3900,390,,,,13520,1352
