G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,G_x_Unnamed: 3,G_x_Tm,G_x_Opp,G_x_W,Unnamed: 3_x_Tm,Unnamed: 3_x_Opp,Unnamed: 3_x_W,Tm_x_Opp,Tm_x_W
31,Wed Dec 21 2022,10:00p,,Box Score,@,Sacramento Kings,L,,120,134,13,18,L 2,17611,2:20,,,3720,4154,403,,,,16080,1560
32,Fri Dec 23 2022,10:30p,,Box Score,,Charlotte Hornets,L,,130,134,13,19,L 3,18997,2:18,,,4160,4288,416,,,,17420,1690
33,Sun Dec 25 2022,2:30p,,Box Score,@,Dallas Mavericks,L,,115,124,13,20,L 4,20441,2:23,,,3795,4092,429,,,,14260,1495
34,Tue Dec 27 2022,7:00p,,Box Score,@,Orlando Magic,W,,129,110,14,20,W 1,19482,2:03,,,4386,3740,476,,,,14190,1806
35,Wed Dec 28 2022,7:30p,,Box Score,@,Miami Heat,L,,98,112,14,21,L 1,20221,2:07,,,3430,3920,490,,,,10976,1372
36,Fri Dec 30 2022,7:30p,,Box Score,@,Atlanta Hawks,W,,130,121,15,21,W 1,17984,2:10,,,4680,4356,540,,,,15730,1950
37,Mon Jan 2 2023,7:00p,,Box Score,@,Charlotte Hornets,W,,121,115,16,21,W 2,19210,2:18,,,4477,4255,592,,,,13915,1936
38,Wed Jan 4 2023,10:00p,,Box Score,,Miami Heat,W,,112,109,17,21,W 3,18997,2:27,,,4256,4142,646,,,,12208,1904
39,Fri Jan 6 2023,10:30p,,Box Score,,Atlanta Hawks,W,,130,114,18,21,W 4,18997,2:01,,,5070,4446,702,,,,14820,2340
40,Sat Jan 7 2023,10:00p,,Box Score,@,Sacramento Kings,W,,136,134,19,21,W 5,17611,2:31,,,5440,5360,760,,,,18224,2584
41,Mon Jan 9 2023,9:00p,,Box Score,@,Denver Nuggets,L,,109,122,19,22,L 1,19609,2:10,,,4469,5002,779,,,,13298,2071
42,Thu Jan 12 2023,10:00p,,Box Score,,Dallas Mavericks,L,2OT,115,119,19,23,L 2,18997,2:52,,,4830,4998,798,,,,13685,2185
43,Sun Jan 15 2023,9:30p,,Box Score,,Philadelphia 76ers,L,,112,113,19,24,L 3,18020,2:11,,,4816,4859,817,,,,12656,2128
44,Mon Jan 16 2023,10:30p,,Box Score,,Houston Rockets,W,,140,132,20,24,W 1,17657,2:28,,,6160,5808,880,,,,18480,2800
45,Wed Jan 18 2023,10:30p,,Box Score,,Sacramento Kings,L,,111,116,20,25,L 1,18142,2:14,,,4995,5220,900,,,,12876,2220
46,Fri Jan 20 2023,10:00p,,Box Score,,Memphis Grizzlies,W,,122,121,21,25,W 1,18997,2:41,,,5612,5566,966,,,,14762,2562
47,Sun Jan 22 2023,9:00p,,Box Score,@,Portland Trail Blazers,W,,121,112,22,25,W 2,19393,2:13,,,5687,5264,1034,,,,13552,2662
48,Tue Jan 24 2023,10:00p,,Box Score,,Los Angeles Clippers,L,,115,133,22,26,L 1,17604,2:15,,,5520,6384,1056,,,,15295,2530
49,Wed Jan 25 2023,10:30p,,Box Score,,San Antonio Spurs,W,,113,104,23,26,W 1,17955,2:10,,,5537,5096,1127,,,,11752,2599
50,Sat Jan 28 2023,8:30p,,Box Score,@,Boston Celtics,L,OT,121,125,23,27,L 1,19156,2:47,,,6050,6250,1150,,,,15125,2783
51,Mon Jan 30 2023,7:30p,,Box Score,@,Brooklyn Nets,L,,104,121,23,28,L 2,17924,2:19,,,5304,6171,1173,,,,12584,2392
52,Tue Jan 31 2023,7:30p,,Box Score,@,New York Knicks,W,OT,129,123,24,28,W 1,19812,2:48,,,6708,6396,1248,,,,15867,3096
53,Thu Feb 2 2023,7:00p,,Box Score,@,Indiana Pacers,W,,112,111,25,28,W 2,17274,2:13,,,5936,5883,1325,,,,12432,2800
54,Sat Feb 4 2023,6:00p,,Box Score,@,New Orleans Pelicans,L,,126,131,25,29,L 1,18886,2:19,,,6804,7074,1350,,,,16506,3150
55,Tue Feb 7 2023,10:00p,,Box Score,,Oklahoma City Thunder,L,,130,133,25,30,L 2,18997,2:32,,,7150,7315,1375,,,,17290,3250
56,Thu Feb 9 2023,10:00p,,Box Score,,Milwaukee Bucks,L,,106,115,25,31,L 3,18997,2:16,,,5936,6440,1400,,,,12190,2650
57,Sat Feb 11 2023,8:30p,,Box Score,@,Golden State Warriors,W,,109,103,26,31,W 1,18064,2:26,,,6213,5871,1482,,,,11227,2834
58,Mon Feb 13 2023,10:00p,,Box Score,@,Portland Trail Blazers,L,,115,127,26,32,L 1,18299,2:01,,,6670,7366,1508,,,,14605,2990
59,Wed Feb 15 2023,10:00p,,Box Score,,New Orleans Pelicans,W,,120,102,27,32,W 1,18997,2:24,,,7080,6018,1593,,,,12240,3240
60,Thu Feb 23 2023,10:00p,,Box Score,,Golden State Warriors,W,,124,111,28,32,W 2,18997,,,,7440,6660,1680,,,,13764,3472
61,Sun Feb 26 2023,3:30p,,Box Score,@,Dallas Mavericks,W,,111,108,29,32,W 3,20411,2:29,,,6771,6588,1769,,,,11988,3219
62,Tue Feb 28 2023,7:30p,,Box Score,@,Memphis Grizzlies,L,,109,121,29,33,L 1,17794,2:17,,,6758,7502,1798,,,,13189,3161
63,Wed Mar 1 2023,8:00p,,Box Score,@,Oklahoma City Thunder,W,,123,117,30,33,W 1,17114,2:17,,,7749,7371,1890,,,,14391,3690
64,Fri Mar 3 2023,10:30p,,Box Score,,Minnesota Timberwolves,L,,102,110,30,34,L 1,18997,2:10,,,6528,7040,1920,,,,11220,3060
65,Sun Mar 5 2023,3:30p,,Box Score,,Golden State Warriors,W,,113,105,31,34,W 1,18997,2:23,,,7345,6825,2015,,,,11865,3503
66,Tue Mar 7 2023,10:00p,,Box Score,,Memphis Grizzlies,W,,112,103,32,34,W 2,18997,2:24,,,7392,6798,2112,,,,11536,3584
67,Fri Mar 10 2023,10:30p,,Box Score,,Toronto Raptors,W,,122,112,33,34,W 3,18322,2:06,,,8174,7504,2211,,,,13664,4026
68,Sun Mar 12 2023,9:00p,,Box Score,,New York Knicks,L,,108,112,33,35,L 1,18997,2:19,,,7344,7616,2244,,,,12096,3564
69,Tue Mar 14 2023,8:00p,,Box Score,@,New Orleans Pelicans,W,,123,108,34,35,W 1,18625,2:11,,,8487,7452,2346,,,,13284,4182
70,Wed Mar 15 2023,8:00p,,Box Score,@,Houston Rockets,L,,110,114,34,36,L 1,18055,2:23,,,7700,7980,2380,,,,12540,3740
71,Fri Mar 17 2023,10:30p,,Box Score,,Dallas Mavericks,L,,110,111,34,37,L 2,18997,2:18,,,7810,7881,2414,,,,12210,3740
72,Sun Mar 19 2023,9:30p,,Box Score,,Orlando Magic,W,,111,105,35,37,W 1,18997,2:12,,,7992,7560,2520,,,,11655,3885
73,Wed Mar 22 2023,10:00p,,Box Score,,Phoenix Suns,W,,122,111,36,37,W 2,18435,2:22,,,8906,8103,2628,,,,13542,4392
74,Fri Mar 24 2023,10:30p,,Box Score,,Oklahoma City Thunder,W,,116,111,37,37,W 3,18997,2:09,,,8584,8214,2738,,,,12876,4292
75,Sun Mar 26 2023,3:30p,,Box Score,,Chicago Bulls,L,,108,118,37,38,L 1,18997,2:12,,,8100,8850,2775,,,,12744,3996
76,Wed Mar 29 2023,8:00p,,Box Score,@,Chicago Bulls,W,,121,110,38,38,W 1,21739,2:13,,,9196,8360,2888,,,,13310,4598
77,Fri Mar 31 2023,8:00p,,Box Score,@,Minnesota Timberwolves,W,,123,111,39,38,W 2,18978,2:23,,,9471,8547,3003,,,,13653,4797
78,Sun Apr 2 2023,7:00p,,Box Score,@,Houston Rockets,W,,134,109,40,38,W 3,18204,2:02,,,10452,8502,3120,,,,14606,5360
79,Tue Apr 4 2023,9:00p,,Box Score,@,Utah Jazz,W,OT,135,133,41,38,W 4,18206,2:31,,,10665,10507,3239,,,,17955,5535
80,Wed Apr 5 2023,10:00p,,Box Score,@,Los Angeles Clippers,L,,118,125,41,39,L 1,19068,2:16,,,9440,10000,3280,,,,14750,4838
81,Fri Apr 7 2023,10:30p,,Box Score,,Phoenix Suns,W,,121,107,42,39,W 1,18997,1:59,,,9801,8667,3402,,,,12947,5082
82,Sun Apr 9 2023,3:30p,,Box Score,,Utah Jazz,W,,128,117,43,39,W 2,18997,2:02,,,10496,9594,3526,,,,14976,5504
83,Tue Apr 11 2023,10:00p,,Box Score,,Minnesota Timberwolves,W,OT,108,102,44,39,W 3,18997,2:46,Play-In Game,,8964,8466,3652,,,,11016,4752
