G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,G_x_Unnamed: 3,G_x_Tm,G_x_Opp,G_x_W,Unnamed: 3_x_Tm,Unnamed: 3_x_Opp,Unnamed: 3_x_W,Tm_x_Opp,Tm_x_W
1,Tue Oct 18 2022,7:30p,,Box Score,,Philadelphia 76ers,W,,126,117,1,0,W 1,19156,2:31,,,126,117,1,,,,14742,126
2,Fri Oct 21 2022,7:30p,,Box Score,@,Miami Heat,W,,111,104,2,0,W 2,19600,2:10,,,222,208,4,,,,11544,222
3,Sat Oct 22 2022,7:00p,,Box Score,@,Orlando Magic,W,,126,120,3,0,W 3,19299,2:24,,,378,360,9,,,,15120,378
4,Mon Oct 24 2022,8:00p,,Box Score,@,Chicago Bulls,L,,102,120,3,1,L 1,17673,2:08,,,408,480,12,,,,12240,306
5,Fri Oct 28 2022,7:30p,,Box Score,,Cleveland Cavaliers,L,OT,123,132,3,2,L 2,19156,2:42,,,615,660,15,,,,16236,369
6,Sun Oct 30 2022,6:00p,,Box Score,,Washington Wizards,W,,112,94,4,2,W 1,19156,2:00,,,672,564,24,,,,10528,448
7,Wed Nov 2 2022,7:30p,,Box Score,@,Cleveland Cavaliers,L,OT,113,114,4,3,L 1,19432,2:35,,,791,798,28,,,,12882,452
8,Fri Nov 4 2022,7:30p,,Box Score,,Chicago Bulls,W,,123,119,5,3,W 1,19156,2:31,,,984,952,40,,,,14637,615
9,Sat Nov 5 2022,7:30p,,Box Score,@,New York Knicks,W,,133,118,6,3,W 2,19812,2:04,,,1197,1062,54,,,,15694,798
10,Mon Nov 7 2022,9:00p,,Box Score,@,Memphis Grizzlies,W,,109,106,7,3,W 3,17371,2:08,,,1090,1060,70,,,,11554,763
11,Wed Nov 9 2022,7:30p,,Box Score,,Detroit Pistons,W,,128,112,8,3,W 4,19156,2:12,,,1408,1232,88,,,,14336,1024
12,Fri Nov 11 2022,7:00p,,Box Score,,Denver Nuggets,W,,131,112,9,3,W 5,19156,2:11,,,1572,1344,108,,,,14672,1179
13,Sat Nov 12 2022,7:00p,,Box Score,@,Detroit Pistons,W,,117,108,10,3,W 6,20190,2:10,,,1521,1404,130,,,,12636,1170
14,Mon Nov 14 2022,7:30p,,Box Score,,Oklahoma City Thunder,W,,126,122,11,3,W 7,19156,2:15,,,1764,1708,154,,,,15372,1386
15,Wed Nov 16 2022,7:30p,,Box Score,@,Atlanta Hawks,W,,126,101,12,3,W 8,18165,2:03,,,1890,1515,180,,,,12726,1512
16,Fri Nov 18 2022,8:30p,,Box Score,@,New Orleans Pelicans,W,,117,109,13,3,W 9,17828,2:01,,,1872,1744,208,,,,12753,1521
17,Mon Nov 21 2022,8:00p,,Box Score,@,Chicago Bulls,L,,107,121,13,4,L 1,20786,2:05,,,1819,2057,221,,,,12947,1391
18,Wed Nov 23 2022,7:30p,,Box Score,,Dallas Mavericks,W,,125,112,14,4,W 1,19156,2:10,,,2250,2016,252,,,,14000,1750
19,Fri Nov 25 2022,8:00p,,Box Score,,Sacramento Kings,W,,122,104,15,4,W 2,19156,2:09,,,2318,1976,285,,,,12688,1830
20,Sun Nov 27 2022,6:00p,,Box Score,,Washington Wizards,W,,130,121,16,4,W 3,19156,2:08,,,2600,2420,320,,,,15730,2080
21,Mon Nov 28 2022,7:30p,,Box Score,,Charlotte Hornets,W,,140,105,17,4,W 4,19156,1:56,,,2940,2205,357,,,,14700,2380
22,Wed Nov 30 2022,7:30p,,Box Score,,Miami Heat,W,,134,121,18,4,W 5,19156,2:01,,,2948,2662,396,,,,16214,2412
23,Fri Dec 2 2022,7:30p,,Box Score,,Miami Heat,L,OT,116,120,18,5,L 1,19156,2:33,,,2668,2760,414,,,,13920,2088
24,Sun Dec 4 2022,6:00p,,Box Score,@,Brooklyn Nets,W,,103,92,19,5,W 1,18043,2:07,,,2472,2208,456,,,,9476,1957
25,Mon Dec 5 2022,7:30p,,Box Score,@,Toronto Raptors,W,,116,110,20,5,W 2,19800,2:11,,,2900,2750,500,,,,12760,2320
26,Wed Dec 7 2022,10:00p,,Box Score,@,Phoenix Suns,W,,125,98,21,5,W 3,17071,2:02,,,3250,2548,546,,,,12250,2625
27,Sat Dec 10 2022,8:30p,,Box Score,@,Golden State Warriors,L,,107,123,21,6,L 1,18064,2:14,,,2889,3321,567,,,,13161,2247
28,Mon Dec 12 2022,10:30p,,Box Score,@,Los Angeles Clippers,L,,93,113,21,7,L 2,19068,2:16,,,2604,3164,588,,,,10509,1953
29,Tue Dec 13 2022,10:00p,,Box Score,@,Los Angeles Lakers,W,OT,122,118,22,7,W 1,18661,2:29,,,3538,3422,638,,,,14396,2684
30,Fri Dec 16 2022,7:30p,,Box Score,,Orlando Magic,L,,109,117,22,8,L 1,19156,2:26,,,3270,3510,660,,,,12753,2398
31,Sun Dec 18 2022,3:00p,,Box Score,,Orlando Magic,L,,92,95,22,9,L 2,19156,2:09,,,2852,2945,682,,,,8740,2024
32,Wed Dec 21 2022,7:30p,,Box Score,,Indiana Pacers,L,,112,117,22,10,L 3,19156,2:10,,,3584,3744,704,,,,13104,2464
33,Fri Dec 23 2022,7:30p,,Box Score,,Minnesota Timberwolves,W,,121,109,23,10,W 1,19156,2:07,,,3993,3597,759,,,,13189,2783
34,Sun Dec 25 2022,5:00p,,Box Score,,Milwaukee Bucks,W,,139,118,24,10,W 2,19156,2:25,,,4726,4012,816,,,,16402,3336
35,Tue Dec 27 2022,7:30p,,Box Score,,Houston Rockets,W,,126,102,25,10,W 3,19156,2:01,,,4410,3570,875,,,,12852,3150
36,Thu Dec 29 2022,7:30p,,Box Score,,Los Angeles Clippers,W,,116,110,26,10,W 4,19156,2:11,,,4176,3960,936,,,,12760,3016
37,Sun Jan 1 2023,8:00p,,Box Score,@,Denver Nuggets,L,,111,123,26,11,L 1,19641,2:40,,,4107,4551,962,,,,13653,2886
38,Tue Jan 3 2023,8:00p,,Box Score,@,Oklahoma City Thunder,L,,117,150,26,12,L 2,16778,2:09,,,4446,5700,988,,,,17550,3042
39,Thu Jan 5 2023,7:30p,,Box Score,@,Dallas Mavericks,W,,124,95,27,12,W 1,20413,2:18,,,4836,3705,1053,,,,11780,3348
40,Sat Jan 7 2023,6:00p,,Box Score,@,San Antonio Spurs,W,,121,116,28,12,W 2,18354,2:08,,,4840,4640,1120,,,,14036,3388
41,Mon Jan 9 2023,7:30p,,Box Score,,Chicago Bulls,W,,107,99,29,12,W 3,19156,2:02,,,4387,4059,1189,,,,10593,3103
42,Wed Jan 11 2023,7:30p,,Box Score,,New Orleans Pelicans,W,,125,114,30,12,W 4,19156,2:00,,,5250,4788,1260,,,,14250,3750
43,Thu Jan 12 2023,7:30p,,Box Score,@,Brooklyn Nets,W,,109,98,31,12,W 5,18125,2:13,,,4687,4214,1333,,,,10682,3379
44,Sat Jan 14 2023,7:00p,,Box Score,@,Charlotte Hornets,W,,122,106,32,12,W 6,19608,1:58,,,5368,4664,1408,,,,12932,3904
45,Mon Jan 16 2023,1:00p,,Box Score,@,Charlotte Hornets,W,,130,118,33,12,W 7,19227,2:06,,,5850,5310,1485,,,,15340,4290
46,Thu Jan 19 2023,7:30p,,Box Score,,Golden State Warriors,W,OT,121,118,34,12,W 8,19156,2:39,,,5566,5428,1564,,,,14278,4114
47,Sat Jan 21 2023,5:00p,,Box Score,@,Toronto Raptors,W,,106,104,35,12,W 9,19800,2:04,,,4982,4888,1645,,,,11024,3710
48,Mon Jan 23 2023,7:00p,,Box Score,@,Orlando Magic,L,,98,113,35,13,L 1,19196,2:02,,,4704,5424,1680,,,,11074,3430
49,Tue Jan 24 2023,7:30p,,Box Score,@,Miami Heat,L,,95,98,35,14,L 2,19705,2:21,,,4655,4802,1715,,,,9310,3325
50,Thu Jan 26 2023,7:30p,,Box Score,,New York Knicks,L,OT,117,120,35,15,L 3,19156,2:25,,,5850,6000,1750,,,,14040,4095
51,Sat Jan 28 2023,8:30p,,Box Score,,Los Angeles Lakers,W,OT,125,121,36,15,W 1,19156,2:47,,,6375,6171,1836,,,,15125,4500
52,Wed Feb 1 2023,7:30p,,Box Score,,Brooklyn Nets,W,,139,96,37,15,W 2,19156,1:58,,,7228,4992,1924,,,,13344,5143
53,Fri Feb 3 2023,7:30p,,Box Score,,Phoenix Suns,L,,94,106,37,16,L 1,19156,2:09,,,4982,5618,1961,,,,9964,3478
54,Mon Feb 6 2023,7:00p,,Box Score,@,Detroit Pistons,W,,111,99,38,16,W 1,17933,2:03,,,5994,5346,2052,,,,10989,4218
55,Wed Feb 8 2023,7:30p,,Box Score,,Philadelphia 76ers,W,,106,99,39,16,W 2,19156,2:13,,,5830,5445,2145,,,,10494,4134
56,Fri Feb 10 2023,7:30p,,Box Score,,Charlotte Hornets,W,,127,116,40,16,W 3,19156,2:12,,,7112,6496,2240,,,,14732,5080
57,Sun Feb 12 2023,2:00p,,Box Score,,Memphis Grizzlies,W,,119,109,41,16,W 4,19156,2:15,,,6783,6213,2337,,,,12971,4879
58,Tue Feb 14 2023,7:30p,,Box Score,@,Milwaukee Bucks,L,OT,125,131,41,17,L 1,17623,2:45,,,7250,7598,2378,,,,16375,5125
59,Wed Feb 15 2023,7:30p,,Box Score,,Detroit Pistons,W,,127,109,42,17,W 1,19156,2:00,,,7493,6431,2478,,,,13843,5334
60,Thu Feb 23 2023,7:00p,,Box Score,@,Indiana Pacers,W,OT,142,138,43,17,W 2,16125,2:27,,,8520,8280,2580,,,,19596,6106
61,Sat Feb 25 2023,8:30p,,Box Score,@,Philadelphia 76ers,W,,110,107,44,17,W 3,20993,2:21,,,6710,6527,2684,,,,11770,4840
