 
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
19,Fri Nov 25 2022,7:30p,,Box Score,,Portland Trail Blazers,L,OT,129,132,9,10,L 1,19812,2:49,
20,Sun Nov 27 2022,6:00p,,Box Score,,Memphis Grizzlies,L,,123,127,9,11,L 2,19524,2:28,
21,Tue Nov 29 2022,7:00p,,Box Score,@,Detroit Pistons,W,,140,110,10,11,W 1,14864,2:03,
22,Wed Nov 30 2022,7:30p,,Box Score,,Milwaukee Bucks,L,,103,109,10,12,L 1,17277,2:18,
23,Sat Dec 3 2022,12:30p,,Box Score,,Dallas Mavericks,L,,100,121,10,13,L 2,18319,2:03,
24,Sun Dec 4 2022,6:00p,,Box Score,,Cleveland Cavaliers,W,,92,81,11,13,W 1,19007,2:11,
25,Wed Dec 7 2022,7:30p,,Box Score,,Atlanta Hawks,W,,113,89,12,13,W 2,18091,2:20,
26,Fri Dec 9 2022,7:00p,,Box Score,@,Charlotte Hornets,W,,121,102,13,13,W 3,17696,2:15,
27,Sun Dec 11 2022,6:00p,,Box Score,,Sacramento Kings,W,,112,99,14,13,W 4,19812,2:17,
28,Wed Dec 14 2022,7:30p,,Box Score,@,Chicago Bulls,W,OT,128,120,15,13,W 5,18820,2:38,
29,Fri Dec 16 2022,8:00p,,Box Score,@,Chicago Bulls,W,,114,91,16,13,W 6,19661,2:07,
30,Sun Dec 18 2022,5:00p,,Box Score,@,Indiana Pacers,W,,109,106,17,13,W 7,14513,2:25,
31,Tue Dec 20 2022,7:30p,,Box Score,,Golden State Warriors,W,,132,94,18,13,W 8,19812,2:14,
32,Wed Dec 21 2022,7:30p,,Box Score,,Toronto Raptors,L,,106,113,18,14,L 1,19294,2:15,
33,Fri Dec 23 2022,7:30p,,Box Score,,Chicago Bulls,L,,117,118,18,15,L 2,19812,2:14,
34,Sun Dec 25 2022,12:00p,,Box Score,,Philadelphia 76ers,L,,112,119,18,16,L 3,19812,2:16,
35,Tue Dec 27 2022,8:30p,,Box Score,@,Dallas Mavericks,L,OT,121,126,18,17,L 4,20377,2:31,
36,Thu Dec 29 2022,8:00p,,Box Score,@,San Antonio Spurs,L,,115,122,18,18,L 5,18354,2:19,
